name,salary_from,salary_to,salary_currency,area_name,published_at
Программист Excel в службу финансового анализа и планирования,,800.0,USD,Москва,2006-01-10T14:33:14+0300
Ведущий аналитик,2000.0,,USD,Москва,2006-11-25T18:38:29+0300
SAP FI-SL consultant,,5000.0,USD,Москва,2006-03-13T11:23:27+0300
System Engineer /Pre-sales Engineer (IK-C-Pre-sales),,3750.0,USD,Москва,2006-01-16T11:28:49+0300
Начальник отдела поддержки банковских технологий,,2000.0,USD,Москва,2006-05-16T13:44:36+0400
Специалист по внедрению,,,,Киев,2006-03-06T13:04:18+0300
Консультант,,,,Москва,2006-09-12T10:10:34+0400
Сервис-инженер.,500.0,700.0,USD,Москва,2006-11-17T09:33:26+0300
Инженер группы проводных решений (оборудование доступа).,1200.0,1600.0,USD,Москва,2006-07-04T09:09:10+0400
Инженер группы проводных решений (оборудование СП и мультиплексирования).,,1300.0,USD,Москва,2006-09-15T18:11:03+0400
Стажёр-инженер J2EE приложений,,,,Москва,2006-04-13T15:21:45+0400
ABAP expert,,5000.0,USD,Москва,2006-01-16T11:16:42+0300
Программист,,,,Москва,2006-03-07T11:35:15+0300
Консультант по финансовому контуру Oracle E-Business Suite,2000.0,,USD,Москва,2006-05-29T11:09:05+0400
Relationship Manager/Investment Consultant,,,,Москва,2006-06-09T09:07:44+0400
Специалист по реструктуризации и оптимизации бизнес-процессов со знанием ARIS,,1500.0,USD,Москва,2006-06-29T14:02:25+0400
Программист 1С,1200.0,1600.0,USD,Москва,2006-04-17T11:13:41+0400
Программист 1С,,1400.0,USD,Москва,2006-01-10T13:01:33+0300
Инженер по тестированию,100.0,800.0,USD,Нижний Новгород,2006-04-20T11:50:13+0400
Инженер-программист,100.0,1500.0,USD,Нижний Новгород,2006-04-20T11:50:13+0400
Инженер-программист,100.0,1500.0,USD,Нижний Новгород,2006-04-20T11:50:13+0400
Инженер-программист (Java),100.0,1500.0,USD,Нижний Новгород,2006-04-20T11:50:14+0400
Маркетолог,,,,Москва,2006-08-04T14:34:03+0400
Программист С#,,,,Москва,2006-08-04T14:34:03+0400
Тренер - Консультант,,,,Москва,2006-08-04T14:34:03+0400
Требуется ABAP-программист в управление разработки ПО Роботизированного комплекса.,,,,Москва,2006-05-12T18:47:56+0400
СПЕЦИАЛИСТ ПО ПОДДЕРЖКЕ СИСТЕМЫ БАНК-КЛИЕНТ,,,,Москва,2006-03-09T09:54:56+0300
Начальник/ведущий специалист Управления сопровождения прикладного ПО,,2000.0,USD,Москва,2006-01-15T20:49:29+0300
Специалист по маркетинговым коммуникациям,,1000.0,USD,Москва,2006-02-13T18:59:15+0300
Инженер службы технической поддержки,10.0,,USD,Нижний Новгород,2006-03-21T12:45:15+0300
СИСТЕМНЫЙ АНАЛИТИК,,,,Москва,2006-01-20T11:40:38+0300
Measurement Engineer for Characterisation,,,,Киев,2006-02-09T12:47:44+0300
Test Systems Designer,,,,Киев,2006-05-30T14:44:44+0400
Менеджер по работе с клиентами / развитию бизнеса,1200.0,1500.0,USD,Москва,2006-02-01T10:31:18+0300
Senior Oracle DBA,,,,Москва,2006-10-20T11:54:42+0400
Ведущий консультант по разработке методологии управленческого учета/бюджетирования,,,,Москва,2006-03-31T11:37:16+0400
