name,salary,area_name,published_at
Разработчик на языке smalltalk,57998.600000000006,Москва,2004-06-08 00:00:00.040
Менеджер проекта СКС,26099.370000000003,Москва,2004-06-01 00:00:00.040
Монтажник СКС,17399.58,Москва,2004-06-01 00:00:00.040
Инструктор в Учебный Центр /Instructor to Training centre (Broadband),,Москва,2004-05-07 00:00:00.040
Инженер в департамент технической поддержки/ GSM в г.Самара,,Самара,2004-05-07 00:00:00.040
Инженер в департамент технической поддержки /Service&Software,28.9612,Москва,2004-05-07 00:00:00.040
Программист C C+ Assembler,,Москва,2004-08-10 10:51:14.040
Специалист по технической поддержке IP-сети,40545.68,Москва,2004-05-07 11:58:51.040
Ведущий специалист по сопровождению программного продукта,23168.960000000003,Москва,2004-05-07 12:14:25.040
Специалист по качеству аудио/видео техники,34799.16,Москва,2004-06-01 00:00:00.040
Ведущий специалист управления разработки,24617.02,Москва,2004-05-07 12:38:41.040
Инженер в департамент технической поддержки/ GSM,,Москва,2004-05-07 13:00:22.040
Менеджер отдела рекламы,,Москва,2004-06-18 00:00:00.040
Администратор сайта,,Москва,2004-05-07 15:56:07.040
Программист 1С,,Москва,2004-05-17 00:00:00.040
Специалист технической поддержки пользователей,,Москва,2004-06-15 00:00:00.040
Technical Analyst,,Санкт-Петербург,2004-05-07 17:25:15.040
IT специалист,,Москва,2004-05-07 18:47:38.040
Web Developer,34968.6,Москва,2004-08-02 11:29:09.040
Test Developer,34968.6,Москва,2004-08-02 11:29:52.040
Manager,,Москва,2004-05-11 11:07:40.040
Помощник системного администратора,12453.316,Москва,2004-05-11 11:12:48.040
Менеджер по продаже услуг связи международным операторам(IK-MUS),58094.2,Москва,2004-07-30 09:42:42.040
Account director (вакансия от БЛМ-Консорт),101991.75,Москва,2004-08-11 11:14:50.040
Business Development Manager (MH-IT-BDM) to a western HiTech company,,Москва,2004-07-30 09:40:31.040
ВЕДУЩИЙ СПЕЦИАЛИСТ/НАЧАЛЬНИК ОТДЕЛА ПРОЦЕССИНГА в Банк.,,Москва,2004-05-11 12:31:08.040
СПЕЦИАЛИСТ в отдел процессинга в Банк.,,Москва,2004-05-11 12:31:47.040
Инженер в департамент технической поддержки/Fixed Network,,Москва,2004-05-11 12:52:55.040
Программист 1С,,Москва,2004-05-11 12:56:57.040
Senior Key Account Manager - Logistics Solutions,,Москва,2004-05-11 13:11:24.040
Специалист по обслуживанию 1С Бухгалтерия 7.7,18824.780000000002,Москва,2004-05-11 13:11:39.040
Consultant SAP R/3 - APO/BW,,Москва,2004-06-09 00:00:00.040
Business Development Leader for Utilities Sector,,Москва,2004-05-11 13:15:59.040
Websphere Sales Manager,115844.8,Москва,2004-05-11 13:16:36.040
РУКОВОДИТЕЛЬ ПРОЕКТОВ ПО СИСТЕМАМ ЭЛЕКТРОННОГО ДОКУМЕНТООБОРОТА,34753.44,Москва,2004-05-20 00:00:00.040
Business Development Leader for Utilities Sector,,Москва,2004-05-11 13:16:55.040
Key Account Manager - Public Sector (IT Solutions),,Москва,2004-05-11 13:17:16.040
Team Leader - SAP R/3 - MM,115844.8,Москва,2004-05-11 13:17:43.040
"Consultant SAP R/3 - FI, CO",86883.6,Москва,2004-05-11 13:18:01.040
Администратор БД Oracle/Unix,,Москва,2004-07-23 14:27:51.040
Менеджер по работе с партнерами,,Москва,2004-06-09 00:00:00.040
"Консультант по внедрению MBS Axapta (производство, логистика)",57922.4,Москва,2004-05-11 14:40:15.040
Консультант по внедрению MBS Axapta (финансы),57922.4,Москва,2004-05-11 14:42:43.040
Системный аналитик,,Москва,2004-05-11 14:45:23.040
"Продакт-менеджер (направление флэш, память)",86883.6,Москва,2004-05-11 15:49:20.040
Специалист отдела контента /контент-менеджер/,,Москва,2004-05-11 16:04:38.040
Специалист отдела контента /контент-менеджер/,,Москва,2004-05-11 16:15:00.040
Системный администратор,,Москва,2004-07-13 13:15:29.040
Pre-sale,,Москва,2004-05-11 16:56:11.040
Инженер по интеграции телекоммуникационного оборудования,,Москва,2004-06-07 00:00:00.040
Инженер по проектированию сетей связи,,Москва,2004-06-07 00:00:00.040
Консультант по внедрению финансовых модулей Oracle EBS,,Москва,2004-05-11 17:33:14.040
Программист,34753.44,Москва,2004-05-11 20:49:37.040
